feature,n,num_bins,z_min,z_max,z_num_unique,uniform_bins_used,quantile_bins_used,delta_bins_used,uniform_empty_bins,quantile_empty_bins,uniform_dominant_bin_ratio,quantile_dominant_bin_ratio,delta_dominant_bin_ratio,dominant_ratio_reduction,uniform_max_bin_count,quantile_max_bin_count,uniform_entropy_norm,quantile_entropy_norm,delta_entropy_norm,quantile_duplicate_edge_count,quantile_zero_width_bin_count,quantile_zero_width_sample_ratio,offset_min,offset_max,offset_mean
psxview.not_in_pspcid_list_false_avg,46876,128,0.0,1.0,7783,83,56,-27,45,72,0.44762778394060926,0.4531316665244475,0.0055038825838382155,-0.0055038825838382155,20983,21241,0.5444791008222204,0.5821958605052114,0.03771675968299104,72,72,0.0,0.0,1.0,0.12958265841007233
psxview.not_in_csrss_handles_false_avg,46876,128,0.0,1.0,9458,117,82,-35,11,46,0.06657991296185681,0.06781721989930882,0.0012373069374520124,-0.0012373069374520124,3121,3179,0.7871812933895821,0.8279553981903862,0.04077410480080412,46,46,0.0,0.0,1.0,0.15479134023189545
psxview.not_in_session_false_avg,46876,128,0.0,1.0,9559,116,75,-41,12,53,0.06960918167079103,0.06992917484426998,0.00031999317347895795,-0.00031999317347895795,3263,3278,0.7907364527791771,0.8150175417542368,0.02428108897505965,53,53,0.0,0.0,1.0,0.15542279183864594
psxview.not_in_deskthrd_false_avg,46876,128,0.0,1.0,9655,120,81,-39,8,47,0.07280911340558067,0.0676038911169895,-0.005205222288591174,0.005205222288591174,3413,3169,0.7845421719487742,0.8302804981587487,0.045738326209974534,47,47,0.0,0.0,1.0,0.17240452766418457
modules.nmodules,46876,128,0.0,1.0,3,3,3,0,125,125,0.9614088232784367,0.9614088232784367,0.0,0.0,45067,45067,0.03372238381564727,0.03372238381564727,0.0,126,126,0.9614088232784367,0.0,0.5,0.4807043969631195
svcscan.nservices,46876,128,0.0,1.0,30,23,6,-17,105,122,0.467830019626248,0.46599539209830193,-0.0018346275279460533,0.0018346275279460533,21930,21844,0.23238821822633723,0.2350553520080433,0.002667133781706077,123,123,0.3668615069545183,0.0,0.993127167224884,0.19453658163547516
svcscan.kernel_drivers,46876,128,0.0,1.0,19,17,4,-13,111,124,0.4982080382285178,0.4982080382285178,0.0,0.0,23354,23354,0.17004000169135206,0.17243153347360124,0.0023915317822491844,125,125,0.4982080382285178,0.0,0.9939393997192383,0.25623810291290283
svcscan.fs_drivers,46876,128,0.0,1.0,10,10,2,-8,118,126,0.9990400204795631,0.9990400204795631,0.0,0.0,46831,46831,0.001834686753157612,0.001572543973478052,-0.00026214277967956,127,127,0.9990400204795631,0.0,0.949999988079071,0.500281572341919
svcscan.process_services,46876,128,0.0,1.0,14,14,5,-9,114,123,0.590664732485707,0.590664732485707,0.0,0.0,27688,27688,0.1774489888596011,0.1753886803772647,-0.002060308482336376,124,124,0.367266831640925,0.0,0.9375,0.1922265589237213
svcscan.shared_process_services,46876,128,0.0,1.0,22,22,4,-18,106,124,0.4982080382285178,0.4982080382285178,0.0,0.0,23354,23354,0.17599890503878352,0.17315305833135972,-0.002845846707423799,125,125,0.4982080382285178,0.0,0.9886363744735718,0.25689437985420227
svcscan.interactive_process_services,46876,128,0.0,0.0,1,1,1,0,127,127,1.0,1.0,0.0,0.0,46876,46876,-0.0,-0.0,0.0,128,128,1.0,0.5,0.5,0.5
svcscan.nactive,46876,128,0.0,1.0,34,34,15,-19,94,113,0.24310948033108626,0.24310948033108626,0.0,0.0,11396,11396,0.4548059403325769,0.44967289202791205,-0.005133048304664822,113,113,0.0,0.0,1.0,0.007195356767624617
callbacks.ncallbacks,46876,128,0.0,1.0,13,13,5,-8,115,123,0.42770287567198567,0.42817219899308817,0.0004693233211024994,-0.0004693233211024994,20049,20071,0.23265827155283586,0.23060033370353564,-0.002057937849300223,123,123,0.0,0.0,1.0,0.0053993514738976955
callbacks.nanonymous,46876,128,0.0,1.0,2,2,1,-1,126,127,0.9991466848707228,1.0,0.0008533151292772212,-0.0008533151292772212,46836,46876,0.0014185404753334803,-0.0,-0.0014185404753334803,127,127,0.0,0.0,1.0,0.0008533151121810079
callbacks.ngeneric,46876,128,0.0,1.0,2,2,2,0,126,126,0.9998720027306084,0.9998720027306084,0.0,0.0,46870,46870,0.0002628369446367955,0.0002628369446367955,0.0,127,127,0.9998720027306084,0.0,0.5,0.4999360144138336
