feature,n,num_bins,z_min,z_max,z_num_unique,uniform_bins_used,quantile_bins_used,delta_bins_used,uniform_empty_bins,quantile_empty_bins,uniform_dominant_bin_ratio,quantile_dominant_bin_ratio,delta_dominant_bin_ratio,dominant_ratio_reduction,uniform_max_bin_count,quantile_max_bin_count,uniform_entropy_norm,quantile_entropy_norm,delta_entropy_norm,quantile_duplicate_edge_count,quantile_zero_width_bin_count,quantile_zero_width_sample_ratio,quantile_width_min_positive,quantile_width_median_positive,quantile_width_max_positive,offset_min,offset_max,offset_mean
ldrmodules.not_in_mem_avg,46876,256,0.0,1.0,15444,256,242,-14,0,14,0.023828824985066985,0.020799556276132777,-0.003029268708934208,0.003029268708934208,1117,975,0.9337957167812201,0.9843759940237748,0.05058027724255476,14,14,0.0,0.0001295049999999881,0.0030110700000000046,0.011597834374999838,0.0,1.0,0.36017709081160504
malfind.ninjections,46876,256,0.0,1.0,111,111,22,-89,145,234,0.4242896151548767,0.4242896151548767,0.0,0.0,19889,19889,0.414439567232933,0.6156920704207025,0.2012525031877695,234,234,0.0,0.005344173000000001,0.005344178500000001,0.611542423984375,0.0,1.0,0.008689069425550273
malfind.commitCharge,46876,256,0.0,1.0,488,256,35,-221,0,221,0.4734192337230139,0.32654236709616863,-0.1468768666268453,0.1468768666268453,22192,15307,0.33280134181274074,0.640864182880871,0.30806284106813026,221,221,0.0,0.0020533799999999935,0.008213550000000014,0.2215493946875,0.0,1.0,0.02786813493291371
malfind.protection,46876,256,0.0,1.0,203,203,40,-163,53,216,0.4135591774042154,0.4156497994709446,0.0020906220667292197,-0.0020906220667292197,19386,19484,0.4320945804859872,0.5853642823518275,0.15326970186584027,216,216,0.0,0.004950489999999974,0.009900997499999974,0.19359142304687504,0.0,1.0,0.027058862658852146
malfind.uniqueInjections,46876,256,0.0,1.0,4452,256,50,-206,0,206,0.42763887703728987,0.42968683334755525,0.0020479563102653864,-0.0020479563102653864,20046,20142,0.4412646961090602,0.5701287365064871,0.12886404039742688,206,206,0.0,0.00044930000000009684,0.018774310683593746,0.041138084492187366,0.0,1.0,0.06486603272701548
psxview.not_in_pslist,46876,256,0.0,1.0,40,40,15,-25,216,241,0.4979307108115027,0.4979307108115027,0.0,0.0,23341,23341,0.48112950985662273,0.6495853759488887,0.16845586609226593,241,241,0.0,0.023255799999999993,0.023255814,0.6511628,0.0,1.0,0.001813294989447893
psxview.not_in_eprocess_pool,46876,256,0.0,1.0,2,2,1,-1,254,255,0.9978027135421111,1.0,0.0021972864578888585,-0.0021972864578888585,46773,46876,0.02256870316578253,0.0,-0.02256870316578253,255,255,0.0,1.0,1.0,1.0,0.0,1.0,0.0021972864578888984
psxview.not_in_ethread_pool,46876,256,0.0,1.0,78,78,17,-61,178,239,0.43839064766618313,0.43839064766618313,0.0,0.0,20550,20550,0.4418943899258692,0.6700846056617898,0.22819021573592063,239,239,0.0,0.0049751199999999995,0.0049751243,0.87562189,0.0,1.0,0.002942845552726085
psxview.not_in_pspcid_list,46876,256,0.0,1.0,40,40,15,-25,216,241,0.4978667121768069,0.4978667121768069,0.0,0.0,23338,23338,0.4812722049435046,0.6496757372674064,0.16840353232390176,241,241,0.0,0.023255799999999993,0.023255814,0.6511628,0.0,1.0,0.0018620558531823918
psxview.not_in_csrss_handles,46876,256,0.0,1.0,78,78,17,-61,178,239,0.437494666780442,0.437494666780442,0.0,0.0,20508,20508,0.44227375658034435,0.6706661874071793,0.22839243082683497,238,238,0.0,0.0009328358062499998,0.0049751241000000005,0.87562189,0.0,1.0,0.0029501989246419114
psxview.not_in_session,46876,256,0.0,1.0,40,40,15,-25,216,241,0.49810137383735814,0.49810137383735814,0.0,0.0,23349,23349,0.4810606180111996,0.6494915321519625,0.16843091414076294,241,241,0.0,0.023255799999999993,0.023255814,0.6511628,0.0,1.0,0.001813294989447893
psxview.not_in_deskthrd,46876,256,0.0,1.0,82,82,19,-63,174,237,0.3869357453707654,0.3869357453707654,0.0,0.0,18138,18138,0.4825476873298571,0.7119908382681536,0.22944315093829648,237,237,0.0,0.004926105,0.0049261083,0.8620689699999999,0.0,1.0,0.003130737809012833
psxview.not_in_pslist_false_avg,46876,256,0.0,1.0,7781,256,95,-161,0,161,0.4461344824643741,0.4492277498080041,0.003093267343630024,-0.003093267343630024,20913,21058,0.6018337823126919,0.6700411521655782,0.06820736985288633,161,161,0.0,0.00020735277343753022,0.008611800000000058,0.0235354114453125,0.0,1.0,0.11228006235567323
psxview.not_in_eprocess_pool_false_avg,46876,256,0.0,1.0,159,159,2,-157,97,254,0.9949227749808004,0.9960747504053247,0.0011519754245242764,-0.0011519754245242764,46638,46692,0.010955484576625277,0.037026328911167444,0.026070844334542168,254,254,0.0,0.305367433359375,0.5,0.694632566640625,0.0,1.0,0.002808342944588985
psxview.not_in_ethread_pool_false_avg,46876,256,0.0,1.0,8346,256,99,-157,0,157,0.38819438518644933,0.3906263333048895,0.0024319481184401637,-0.0024319481184401637,18197,18311,0.6483399925764636,0.7188941072619122,0.07055411468544859,157,157,0.0,0.0006108389843749729,0.007429599999999981,0.021941941437500008,0.0,1.0,0.11454333576241364
psxview.not_in_pspcid_list_false_avg,46876,256,0.0,1.0,7783,256,94,-162,0,162,0.4460704838296783,0.4492277498080041,0.0031572659783258294,-0.0031572659783258294,20910,21058,0.6019623509814248,0.6706742800960989,0.06871192911467405,162,162,0.0,0.0007710300000000059,0.008802334999999994,0.02352936273437499,0.0,1.0,0.11168188254600415
psxview.not_in_csrss_handles_false_avg,46876,256,0.0,1.0,9458,256,131,-125,0,125,0.062292004437238674,0.06391330318286544,0.001621298745626762,-0.001621298745626762,2920,2996,0.8172096221407498,0.871401758213391,0.054192136072641284,125,125,0.0,0.0001429317968749677,0.0064501999999999615,0.01936189792968751,0.0,1.0,0.13349337182154378
psxview.not_in_session_false_avg,46876,256,0.0,1.0,9559,256,121,-135,0,135,0.06487328270330232,0.06664391159655261,0.0017706288932502895,-0.0017706288932502895,3041,3124,0.8097870198753202,0.8755691969753209,0.06578217710000067,135,135,0.0,0.00014303882812499724,0.0074258975000000005,0.019157303671874987,0.0,1.0,0.12359572177906239
psxview.not_in_deskthrd_false_avg,46876,256,0.0,1.0,9655,256,127,-129,0,129,0.06180134823790426,0.06252666609778991,0.0007253178598856519,-0.0007253178598856519,2897,2931,0.8214926705667599,0.8826131229862525,0.0611204524194926,129,129,0.0,0.00021201578125007448,0.007458100000000023,0.018966804375000007,0.0,1.0,0.14145335608883844
modules.nmodules,46876,256,0.0,1.0,3,3,3,0,253,253,0.9614088232784367,0.9614088232784367,0.0,0.0,45067,45067,0.14893518717180834,0.14893518717180834,0.0,254,254,0.0,0.08333330000000005,0.5,0.9166667,0.0,0.5,0.48070441163921834
svcscan.nservices,46876,256,0.0,1.0,30,30,9,-21,226,247,0.4652274084819524,0.46599539209830193,0.0007679836163495546,-0.0007679836163495546,21808,21844,0.34744347878889764,0.5309884210544734,0.18354494226557577,248,248,0.0,0.011112349999999993,0.02222477500000003,0.84557223,0.0,0.9249763322998438,0.1852847679269758
svcscan.kernel_drivers,46876,256,0.0,1.0,19,19,5,-14,237,251,0.4982080382285178,0.4982080382285178,0.0,0.0,23354,23354,0.28582173062486177,0.521617242211335,0.23579551158647322,252,252,0.0,0.005987999999999993,0.005988035000000003,0.98203593,0.0,0.8841463672311867,0.24975376135114621
svcscan.fs_drivers,46876,256,0.0,1.0,10,10,2,-8,246,254,0.9990400204795631,0.9990400204795631,0.0,0.0,46831,46831,0.003866070213091662,0.011007807811461007,0.007141737598369346,255,255,0.0,1.0,1.0,1.0,0.0,0.95,0.5002815939926615
svcscan.process_services,46876,256,0.0,1.0,14,14,7,-7,242,249,0.590664732485707,0.590664732485707,0.0,0.0,27688,27688,0.32624826091225567,0.4416928898204948,0.11544462890823914,250,250,0.0,0.04999999999999993,0.050000000000000044,0.7,0.0,0.9285714285714287,0.18428102105250327
svcscan.shared_process_services,46876,256,0.0,1.0,22,22,6,-16,234,250,0.4982080382285178,0.4982080382285178,0.0,0.0,23354,23354,0.2762666726609017,0.47325740680336265,0.19699073414246093,251,251,0.0,0.010869550000000006,0.02173910000000001,0.9130435,0.0,0.9880952440929703,0.2500599350137591
svcscan.interactive_process_services,46876,256,0.0,0.0,1,1,1,0,255,255,1.0,1.0,0.0,0.0,46876,46876,0.0,0.0,0.0,255,255,0.0,1.0,1.0,1.0,0.0,0.0,0.0
svcscan.nactive,46876,256,0.0,1.0,34,34,17,-17,222,239,0.24310948033108626,0.24310948033108626,0.0,0.0,11396,11396,0.6257817858570436,0.7766669770522459,0.15088519119520227,239,239,0.0,0.010100930000000008,0.010101020000000016,0.83838385,0.0,1.0,0.0032914317553045538
callbacks.ncallbacks,46876,256,0.0,1.0,13,13,6,-7,243,250,0.42770287567198567,0.42817219899308817,0.0004693233211024994,-0.0004693233211024994,20049,20071,0.44011199341175156,0.6264196945104372,0.18630770109868566,250,250,0.0,0.025641000000000025,0.02564105,0.76923074,0.0,1.0,0.0017571179800907441
callbacks.nanonymous,46876,256,0.0,1.0,2,2,1,-1,254,255,0.9991466848707228,1.0,0.0008533151292772212,-0.0008533151292772212,46836,46876,0.009929783324449003,0.0,-0.009929783324449003,255,255,0.0,1.0,1.0,1.0,0.0,1.0,0.0008533151292772421
callbacks.ngeneric,46876,256,0.0,1.0,2,2,2,0,254,254,0.9998720027306084,0.9998720027306084,0.0,0.0,46870,46870,0.0018398586095722102,0.0018398586095722102,0.0,255,255,0.0,1.0,1.0,1.0,0.0,0.5,0.4999360013653042
