feature,strategy,feature_index,raw_unique,is_binary,is_low_unique_128,bins_used,empty_bins,empty_ratio,dominant_bin_ratio,entropy_norm,compression_factor,rare_bins_le1,rare_bins_le5,rare_bins_le10,rare_used_bin_ratio_le5,rare_used_bin_ratio_le10,max_raw_unique_per_bin,mean_raw_unique_per_bin,bins_with_multi_raw_unique,bins_with_multi_raw_unique_ratio,raw_values_multibin,raw_values_multi_offset,offset_unique_count,offset_nonzero_ratio,offset_std,offset_min,offset_max,offset_noise_suspect,raw_scaled_is_constant,raw_scaled_unique_f64,raw_scaled_unique_f32,raw_scaled_mean,raw_scaled_std,raw_scaled_q001,raw_scaled_q01,raw_scaled_q05,raw_scaled_q50,raw_scaled_q95,raw_scaled_q99,raw_scaled_zero_ratio,raw_scaled_near_zero_1e_6_ratio,raw_scaled_near_zero_1e_4_ratio,raw_scaled_one_ratio,film_gate
ldrmodules.not_in_load_avg,rank_uniform_offset,23,15444,False,False,512,0,0.0,0.019114258895810223,0.9261698233703296,30.1640625,0,0,0,0.0,0.0,31,30.1640625,512,1.0,0,0,15444,0.9999786671217681,0.2888041169148704,0.0,1.0,False,False,15444,15438,0.03296679069118247,0.017557156187563195,0.007955805594116981,0.015530978434171486,0.0213884693733634,0.029487051210811497,0.051797897829487856,0.05936173836627212,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
ldrmodules.not_in_init_avg,rank_uniform_offset,24,15577,False,False,512,0,0.0,0.026687430668145745,0.9390541473754485,30.423828125,0,0,0,0.0,0.0,31,30.423828125,512,1.0,0,0,1948,0.9997226725829849,0.29031491006497906,0.0,1.0,False,False,15577,15573,0.026968611762423947,0.0182357048778267,0.0033179784428849896,0.008113470784369942,0.01511275730786547,0.024809776663971005,0.04241961450731176,0.04909569680234218,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
ldrmodules.not_in_mem_avg,rank_uniform_offset,25,15444,False,False,512,0,0.0,0.019114258895810223,0.9256344286247992,30.1640625,0,0,0,0.0,0.0,31,30.1640625,512,1.0,0,0,15444,0.9999786671217681,0.28899765835877606,0.0,1.0,False,False,15444,15438,0.032969563194305385,0.017561639472968012,0.007955805594116981,0.015530978434171486,0.0213884693733634,0.029487051210811497,0.051797897829487856,0.05936173836627212,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
malfind.ninjections,discrete_compact_offset0,26,111,False,True,111,401,0.783203125,0.4242896151548767,0.414439567232933,1.0,25,49,71,0.44144144144144143,0.6396396396396397,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,111,111,0.009557811009509965,0.024336526348211845,0.0,0.0,0.001597444089456869,0.004792332268370607,0.020766773162939296,0.09744408945686901,0.010602440481269734,0.010602440481269734,0.010602440481269734,2.133287823193105e-05,
malfind.commitCharge,keep_current,27,488,False,False,488,24,0.046875,0.32654236709616863,0.3960846711131229,1.0,241,344,388,0.7049180327868853,0.7950819672131147,1,1.0,0,0.0,0,0,488,0.9893975595187303,0.18960906982092224,0.0,1.0,False,False,488,488,0.004386233012161902,0.027637241389445844,0.0,0.0,4.527980656466635e-06,1.3583941969399907e-05,0.0006112773886229958,0.08403026502270783,0.010602440481269734,0.010602440481269734,0.8864024234149671,2.133287823193105e-05,
malfind.protection,keep_current,28,203,False,False,203,309,0.603515625,0.4135591774042154,0.4320945804859872,1.0,33,78,115,0.3842364532019704,0.5665024630541872,1,1.0,0,0.0,0,0,203,0.9897388855704412,0.17046591136022765,0.0,1.0,False,False,203,203,0.009616368510727006,0.024334803213322487,0.0,0.0,0.001597444089456869,0.004792332268370607,0.020766773162939296,0.09744408945686901,0.010261114429558836,0.010261114429558836,0.010261114429558836,2.133287823193105e-05,
malfind.uniqueInjections,rank_uniform_offset,29,4452,False,False,512,0,0.0,0.4274468811332025,0.4081501547524259,8.6953125,0,0,466,0.0,0.91015625,9,8.6953125,512,1.0,0,0,4452,0.5727237818926529,0.30350589297687625,0.0,1.0,False,False,4452,4452,0.008187100347717684,0.031014733250537885,0.0,0.0,0.0,0.0027689123084472527,0.013382899627755285,0.1271375464636752,0.42727621810734706,0.42727621810734706,0.42755354552436214,2.133287823193105e-05,
psxview.not_in_pslist,discrete_compact_offset0,30,40,False,True,40,472,0.921875,0.4979307108115027,0.48112950985662273,1.0,6,9,17,0.225,0.425,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,40,40,0.04357017127820653,0.0698759306528408,0.0,0.0,0.0,0.023255813953488372,0.18604651162790697,0.27906976744186046,0.4979307108115027,0.4979307108115027,0.4979307108115027,2.133287823193105e-05,
psxview.not_in_eprocess_pool,discrete_compact_offset0,31,2,True,True,2,510,0.99609375,0.9978027135421111,0.02256870316578253,1.0,0,0,0,0.0,0.0,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,2,2,0.0021972864578888984,0.04682369475074427,0.0,0.0,0.0,0.0,0.0,0.0,0.9978027135421111,0.9978027135421111,0.9978027135421111,0.0021972864578888984,
psxview.not_in_ethread_pool,discrete_compact_offset0,32,78,False,True,78,434,0.84765625,0.43839064766618313,0.4418943899258692,1.0,25,42,48,0.5384615384615384,0.6153846153846154,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,78,78,0.011311626015328256,0.023316444002249345,0.0,0.0,0.0,0.004975124378109453,0.04477611940298507,0.06965174129353234,0.43839064766618313,0.43839064766618313,0.43839064766618313,2.133287823193105e-05,
psxview.not_in_pspcid_list,discrete_compact_offset0,33,40,False,True,40,472,0.921875,0.4978667121768069,0.4812722049435046,1.0,4,9,17,0.225,0.425,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,40,40,0.0436202787363792,0.07016825950372431,0.0,0.0,0.0,0.023255813953488372,0.18604651162790697,0.27906976744186046,0.4978667121768069,0.4978667121768069,0.4978667121768069,2.133287823193105e-05,
psxview.not_in_csrss_handles,discrete_compact_offset0,34,78,False,True,78,434,0.84765625,0.437494666780442,0.44227375658034435,1.0,25,42,49,0.5384615384615384,0.6282051282051282,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,78,78,0.011327758341155389,0.02332016132072965,0.0,0.0,0.0,0.004975124378109453,0.04477611940298507,0.06965174129353234,0.437494666780442,0.437494666780442,0.437494666780442,2.133287823193105e-05,
psxview.not_in_session,discrete_compact_offset0,35,40,False,True,40,472,0.921875,0.49810137383735814,0.4810606180111996,1.0,6,9,17,0.225,0.425,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,40,40,0.04356372180339223,0.06987640187504122,0.0,0.0,0.0,0.023255813953488372,0.18604651162790697,0.27906976744186046,0.49810137383735814,0.49810137383735814,0.49810137383735814,2.133287823193105e-05,
psxview.not_in_deskthrd,discrete_compact_offset0,36,82,False,True,82,430,0.83984375,0.3869357453707654,0.4825476873298571,1.0,30,42,48,0.5121951219512195,0.5853658536585366,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,82,82,0.020967592100235525,0.02365093273598331,0.0,0.0049261083743842365,0.0049261083743842365,0.014778325123152709,0.054187192118226604,0.08374384236453201,0.0034985920300366923,0.0034985920300366923,0.0034985920300366923,2.133287823193105e-05,
psxview.not_in_pslist_false_avg,rank_uniform_offset,37,7781,False,False,512,0,0.0,0.4458144892908951,0.5649092917914776,15.197265625,0,0,0,0.0,0.0,16,15.197265625,512,1.0,0,0,1946,0.5544841710043519,0.2984859851484676,0.0,1.0,False,False,7781,7781,0.07426775112043067,0.10462065882375424,0.0,0.0,0.0,0.03859475555462987,0.2952159533487151,0.42325581356538666,0.44549449611741615,0.44549449611741615,0.44562249338680776,2.133287823193105e-05,
psxview.not_in_eprocess_pool_false_avg,keep_current,38,159,False,False,159,353,0.689453125,0.9949227749808004,0.010955484576625277,1.0,141,152,154,0.9559748427672956,0.9685534591194969,1,1.0,0,0.0,0,0,159,0.00507722501919959,0.04222882205698805,0.0,1.0,False,False,159,159,0.001884913729113584,0.02992943145687141,0.0,0.0,0.0,0.0,0.0,0.0,0.9949227749808004,0.9949227749808004,0.9949227749808004,4.26657564638621e-05,
psxview.not_in_ethread_pool_false_avg,rank_uniform_offset,39,8346,False,False,512,0,0.0,0.38785305913473844,0.6078890526288423,16.30078125,0,0,0,0.0,0.0,17,16.30078125,512,1.0,0,0,8346,0.6124882669169724,0.33908269957968956,0.0,1.0,False,False,8346,8346,0.0569613464619899,0.08014142314272905,0.0,0.0,0.0,0.027768136119402983,0.2258975391044776,0.3216826235820895,0.38751173308302755,0.38751173308302755,0.3877250618653469,2.133287823193105e-05,
psxview.not_in_pspcid_list_false_avg,rank_uniform_offset,40,7783,False,False,512,0,0.0,0.4457504906561993,0.5651203929512788,15.201171875,0,0,0,0.0,0.0,16,15.201171875,512,1.0,0,0,3892,0.5545481696390477,0.31896116112822026,0.0,1.0,False,False,7783,7783,0.04099617238064255,0.05809101375906297,0.0,0.0,0.0,0.021276596,0.16291713424999998,0.233333333,0.44543049748272034,0.44543049748272034,0.4457078248997355,2.133287823193105e-05,
psxview.not_in_csrss_handles_false_avg,rank_uniform_offset,41,9458,False,False,512,0,0.0,0.06188667975083198,0.765277320469504,18.47265625,0,0,0,0.0,0.0,19,18.47265625,512,1.0,0,0,9458,0.9999786671217681,0.2688877119538707,0.0,1.0,False,False,9458,9457,0.14002459267809372,0.07444769586689493,0.04784987787589485,0.06944669717147146,0.07859218468139491,0.11256113622018893,0.2963366423265511,0.3825215401611243,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
psxview.not_in_session_false_avg,rank_uniform_offset,42,9559,False,False,512,0,0.0,0.06446795801689564,0.7579223476549959,18.669921875,0,0,0,0.0,0.0,19,18.669921875,512,1.0,0,0,4780,0.9999573342435362,0.28973528791911474,0.0,1.0,False,False,9559,9557,0.14000906486134687,0.09700938733004856,0.03325072088356205,0.05569334891133739,0.06520466626636867,0.10259301124502873,0.3450855807205696,0.4606782654173235,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
psxview.not_in_deskthrd_false_avg,rank_uniform_offset,43,9655,False,False,512,0,0.0,0.06139602355149757,0.7731383545067176,18.857421875,0,0,0,0.0,0.0,19,18.857421875,512,1.0,0,0,4828,0.9938987968256677,0.2908897444576214,0.0,1.0,False,False,9655,9653,0.175848416610958,0.07545782375538447,0.06955269526717557,0.08858512366412213,0.10941475786259541,0.14950434992366413,0.33110438167938927,0.41632413435114496,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
modules.nmodules,discrete_compact_offset0,44,3,False,True,3,509,0.994140625,0.9614088232784367,0.14893518717180834,1.0,1,1,1,0.3333333333333333,0.3333333333333333,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,3,3,0.996764513468157,0.016694629164348235,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,0.9614088232784367,
svcscan.nservices,discrete_compact_offset0,45,30,False,True,30,482,0.94140625,0.4652274084819524,0.34744347878889764,1.0,9,16,17,0.5333333333333333,0.5666666666666667,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,30,30,0.9878523787505822,0.01549260877120835,0.9435215946843853,0.9667774086378738,0.9800664451827242,0.9800664451827242,1.0,1.0,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,0.3668615069545183,
svcscan.kernel_drivers,discrete_compact_offset0,46,19,False,True,19,493,0.962890625,0.4982080382285178,0.28582173062486177,1.0,9,12,14,0.631578947368421,0.7368421052631579,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,19,19,0.9964395809456263,0.012520485957646573,0.9820359281437125,0.9880239520958084,0.9940119760479041,0.9940119760479041,1.0,1.0,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,0.4982080382285178,
svcscan.fs_drivers,discrete_compact_offset0,47,10,False,True,10,502,0.98046875,0.9990400204795631,0.003866070213091662,1.0,6,7,7,0.7,0.7,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,10,10,0.999801604232443,0.009321594172379235,1.0,1.0,1.0,1.0,1.0,1.0,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,0.9990400204795631,
svcscan.process_services,discrete_compact_offset0,48,14,False,True,14,498,0.97265625,0.590664732485707,0.32624826091225567,1.0,1,6,7,0.42857142857142855,0.5,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,14,14,0.9031092670023039,0.07652986763541307,0.7,0.8,0.85,0.85,1.0,1.0,4.26657564638621e-05,4.26657564638621e-05,4.26657564638621e-05,0.367266831640925,
svcscan.shared_process_services,discrete_compact_offset0,49,22,False,True,22,490,0.95703125,0.4982080382285178,0.2762666726609017,1.0,9,14,15,0.6363636363636364,0.6818181818181818,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,22,22,0.987807796332229,0.017226422018771306,0.9130434782608695,0.9565217391304348,0.9782608695652174,0.9782608695652174,1.0,1.0,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,0.4982080382285178,
svcscan.interactive_process_services,constant,50,1,False,True,1,511,0.998046875,1.0,0.0,1.0,0,0,0,0.0,0.0,1,1.0,0,0.0,0,0,1,1.0,0.0,0.5,0.5,False,True,1,1,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,
svcscan.nactive,discrete_compact_offset0,51,34,False,True,34,478,0.93359375,0.24310948033108626,0.6257817858570436,1.0,9,14,15,0.4117647058823529,0.4411764705882353,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,34,34,0.9292009177878279,0.0287278891698015,0.827020202020202,0.8484848484848485,0.8888888888888888,0.9292929292929293,0.9696969696969697,0.9797979797979798,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,0.0007893164945814489,
callbacks.ncallbacks,discrete_compact_offset0,52,13,False,True,13,499,0.974609375,0.42770287567198567,0.44011199341175156,1.0,3,4,5,0.3076923076923077,0.38461538461538464,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,13,13,0.9460852527453775,0.081473239801771,0.10256410256410256,0.9230769230769231,0.9230769230769231,0.9487179487179487,0.9743589743589743,0.9743589743589743,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,0.00046932332110248315,
callbacks.nanonymous,discrete_compact_offset0,53,2,True,True,2,510,0.99609375,0.9991466848707228,0.009929783324449003,1.0,0,0,0,0.0,0.0,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,2,2,0.0008533151292772421,0.02919909215313703,0.0,0.0,0.0,0.0,0.0,0.0,0.9991466848707228,0.9991466848707228,0.9991466848707228,0.0008533151292772421,
callbacks.ngeneric,discrete_compact_offset0,54,2,True,True,2,510,0.99609375,0.9998720027306084,0.0018398586095722102,1.0,0,0,1,0.0,0.5,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,2,2,0.9998720027306084,0.011312863744013475,1.0,1.0,1.0,1.0,1.0,1.0,0.00012799726939158632,0.00012799726939158632,0.00012799726939158632,0.9998720027306084,
